Time,Estimated_Height,Estimated_Speed,Estimated_Accel
676,89.453629,-2.844031,-1.105201
677,89.480453,-2.834164,-1.122376
678,89.488327,-2.832265,-1.137152
679,89.479027,-2.837495,-1.149877
680,89.453270,-2.836741,-1.083421
681,89.444504,-2.841409,-1.104792
682,89.437958,-2.832505,-1.045232
683,89.434685,-2.834777,-1.072656
684,89.431526,-2.837118,-1.095656
685,89.433586,-2.837419,-1.114848
686,89.437721,-2.824252,-1.053465
687,89.445564,-2.834848,-1.156796
688,89.436707,-2.839968,-1.166344
689,89.430016,-2.831471,-1.096868
690,89.424477,-2.847675,-1.193455
691,89.413818,-2.866276,-1.274563
692,89.425911,-2.850325,-1.187269
693,89.440918,-2.845645,-1.191440
694,89.450607,-2.843225,-1.195044
695,89.439438,-2.862100,-1.275908
696,89.437523,-2.851943,-1.188668
697,89.431511,-2.868563,-1.270456
698,89.427505,-2.871864,-1.261573
699,89.440018,-2.881034,-1.331244
700,89.433578,-2.898208,-1.390044
701,89.449738,-2.880794,-1.284041
702,89.451614,-2.881603,-1.272848
703,89.434761,-2.890000,-1.263816
704,89.434067,-2.866457,-1.102624
705,89.429420,-2.869151,-1.120803
706,89.428970,-2.845020,-0.982668
707,89.426735,-2.833656,-0.942706
708,89.436203,-2.830157,-0.986410
709,89.443642,-2.840482,-1.100552
710,89.426170,-2.861470,-1.196768
711,89.427986,-2.862089,-1.199653
712,89.412674,-2.869723,-1.202401
713,89.407410,-2.885879,-1.281951
714,89.421227,-2.881727,-1.270863
715,89.415634,-2.898225,-1.339378
716,89.429070,-2.894369,-1.319034
717,89.442223,-2.890575,-1.301977
718,89.435944,-2.907402,-1.365485
719,89.405769,-2.934121,-1.419204
720,89.409386,-2.959670,-1.541043
721,89.416710,-2.958585,-1.488277
722,89.444405,-2.936187,-1.366184
723,89.431770,-2.955360,-1.419437
724,89.440277,-2.940485,-1.308808
725,89.427391,-2.959397,-1.371311
726,89.407784,-2.981143,-1.423857
727,89.406845,-2.995249,-1.467564
728,89.389069,-3.003575,-1.427098
729,89.405006,-3.010501,-1.469946
730,89.386803,-3.018812,-1.429095
731,89.394485,-3.003494,-1.316887
732,89.399963,-3.001397,-1.300256
733,89.407372,-2.985732,-1.208828
734,89.395584,-2.990356,-1.209954
735,89.383942,-2.994862,-1.210893
736,89.389549,-2.992260,-1.211348
737,89.413750,-2.982090,-1.211375
738,89.421082,-2.966237,-1.134286
