18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:10:05.070: 64,0:0:0:3445,1,-117,-826,182,3010,-2450,2030,-1063242502,0,1,996,-122,218,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:05.180: 0,0:0:0:3445,1,-68,-924,134,2100,-3360,-1960,-1063240837,0,1,1029,-69,180,1851,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:05.396: 32,0:0:0:3445,1,-19,-875,182,2100,-6440,2450,-1063242502,0,1,1013,40,126,1851,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:05.503: 64,0:0:0:3445,1,29,-826,134,2590,-10850,-630,-1063242502,0,1,979,-68,302,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:05.613: 8,0:0:0:3445,1,29,-875,-12,5180,-700,-15050,-1063237478,0,1,955,-155,347,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:05.830: 32,0:0:0:3445,1,78,-875,-12,2590,-2870,7770,-1063238865,0,1,981,22,209,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:05.941: 8,0:0:0:3445,1,-19,-875,182,840,-210,1120,-1063239145,0,1,999,8,180,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:06.050: 8,0:0:0:3445,1,-166,-875,231,1680,-4690,-1540,-1063239145,0,1,990,-17,224,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:06.263: 8,0:0:0:3445,1,-117,-826,182,3010,-2870,1120,-1063239145,0,1,980,-41,230,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:06.370: 0,0:0:0:3445,1,-19,-875,134,350,-1540,-1050,-1063237478,0,1,960,-8,250,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:06.480: 0,0:0:0:3445,1,-68,-777,134,3010,-3360,1540,-1063238865,0,1,964,-12,275,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:06.591: 8,0:0:0:3445,1,-68,-875,134,4760,1120,5530,-1063239145,0,1,975,19,208,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:06.805: 0,0:0:0:3445,1,-19,-777,85,1680,-6440,-1050,-1063240837,0,1,995,60,156,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:06.917: 8,0:0:0:3445,1,-166,-875,231,1260,-4690,700,-1063240837,0,1,965,20,188,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:07.028: 8,0:0:0:3445,1,-117,-875,182,5670,-3360,700,-1063237478,0,1,958,-51,252,1852,99829,0,0,65344,8194,-1392510048,-1,0,
